order_id,order_date,customer_name,customer_email,product_name,category,quantity,unit_price,line_total
O-00063,2026-01-01,Xian Xu,xian.xu@example.com,Headphones 9,grocery,2,54.18,108.36
O-00137,2026-01-01,Yara Ueda,yara.ueda@example.com,Pants 6,electronics,2,226.06,452.12
O-00140,2026-01-01,Zane Wong,zane.wong@example.com,Spoon 23,home,6,230.18,1381.08
O-00023,2026-01-02,Vik Quinn,vik.quinn@example.com,Coffee 24,grocery,6,116.27,697.62
O-00007,2026-01-03,Noor Young,noor.young@example.com,Sweater 30,other,6,38.68,232.08
O-00090,2026-01-03,Felix Allen,felix.allen@example.com,Knife 15,other,4,113.66,454.64
O-00115,2026-01-03,Xian Iyer,xian.iyer@example.com,Eggs 28,home,3,109.51,328.53
O-00174,2026-01-03,Felix Tan,felix.tan@example.com,Charger 29,grocery,5,43.81,219.05
O-00135,2026-01-04,Yara Xu,yara.xu@example.com,Cup 27,apparel,10,27.56,275.60
O-00198,2026-01-04,Felix Davis,felix.davis@example.com,Yogurt 20,other,1,19.89,19.89
O-00038,2026-01-05,Xian Wong,xian.wong@example.com,Sweater 30,other,7,148.15,1037.05
O-00084,2026-01-05,Wren Chen,wren.chen@example.com,Mug 3,home,9,45.86,412.74
O-00049,2026-01-06,Alex Roy,alex.roy@example.com,Cheese 16,electronics,5,179.45,897.25
O-00071,2026-01-06,Wren Owens,,Cheese 16,electronics,7,184.26,1289.82
O-00046,2026-01-07,Owen Vance,,Belt 22,apparel,7,56.40,394.80
O-00043,2026-01-08,Zane Tan,zane.tan@example.com,Tablet 25,other,1,6.01,6.01
O-00065,2026-01-08,Yara Davis,yara.davis@example.com,Speaker 17,apparel,1,207.54,207.54
O-00073,2026-01-08,Ines Chen,ines.chen@example.com,Headphones 9,grocery,3,102.04,306.12
O-00076,2026-01-08,Uma Davis,uma.davis@example.com,Pants 6,electronics,4,209.47,837.88
O-00100,2026-01-08,Yara Jones,yara.jones@example.com,Webcam 21,electronics,4,242.94,971.76
O-00190,2026-01-08,Pia Owens,pia.owens@example.com,Pan 7,apparel,2,117.75,235.50
O-00081,2026-01-09,Kai Roy,kai.roy@example.com,Shirt 2,apparel,4,74.84,299.36
O-00104,2026-01-09,Mia Ueda,mia.ueda@example.com,Shirt 2,apparel,1,214.16,214.16
O-00129,2026-01-09,Owen Edwards,owen.edwards@example.com,Spoon 23,home,2,171.82,343.64
O-00003,2026-01-10,Yara Owens,yara.owens@example.com,Headphones 9,grocery,1,194.63,194.63
O-00028,2026-01-10,Alex Patel,alex.patel@example.com,Spoon 23,home,7,240.27,1681.89
O-00020,2026-01-11,Xian Iyer,xian.iyer@example.com,Lamp 1,electronics,5,209.69,1048.45
O-00052,2026-01-11,Kai Roy,kai.roy@example.com,Cable 5,other,5,76.97,384.85
O-00080,2026-01-11,Hugo Ueda,hugo.ueda@example.com,Speaker 17,apparel,10,173.43,1734.30
O-00102,2026-01-11,Vik Quinn,vik.quinn@example.com,Headphones 9,grocery,4,233.43,933.72
O-00108,2026-01-11,Cara Wong,cara.wong@example.com,Pants 6,electronics,2,116.30,232.60
O-00184,2026-01-11,Uma Smith,uma.smith@example.com,Chips 12,apparel,6,126.46,758.76
O-00058,2026-01-12,Owen Vance,,Cheese 16,electronics,8,64.21,513.68
O-00016,2026-01-13,Dani Tan,dani.tan@example.com,Sweater 30,other,5,78.27,391.35
O-00035,2026-01-13,Dani Tan,dani.tan@example.com,Socks 18,home,8,110.39,883.12
O-00114,2026-01-13,Xian Vance,xian.vance@example.com,Headphones 9,grocery,6,30.89,185.34
O-00149,2026-01-13,Noor Roy,noor.roy@example.com,Speaker 17,apparel,3,225.11,675.33
O-00194,2026-01-13,Ravi Roy,ravi.roy@example.com,Shirt 2,apparel,3,248.13,744.39
O-00011,2026-01-14,Xian Xu,xian.xu@example.com,Socks 18,home,6,185.11,1110.66
O-00064,2026-01-14,Yara Owens,yara.owens@example.com,Charger 29,grocery,4,60.65,242.60
O-00088,2026-01-14,Zane Xu,zane.xu@example.com,Speaker 17,apparel,4,184.13,736.52
O-00013,2026-01-15,Cara Chen,cara.chen@example.com,Pan 7,apparel,4,60.60,242.40
O-00075,2026-01-15,Ravi Chen,ravi.chen@example.com,Spoon 23,home,4,218.13,872.52
O-00094,2026-01-16,Mia Zhao,mia.zhao@example.com,Mouse 13,home,7,22.22,155.54
O-00040,2026-01-17,Dani Tan,dani.tan@example.com,Speaker 17,apparel,8,10.83,86.64
O-00044,2026-01-17,Quin Smith,quin.smith@example.com,Knife 15,other,6,124.37,746.22
O-00097,2026-01-17,Yara Owens,yara.owens@example.com,Mug 3,home,5,222.46,1112.30
O-00132,2026-01-17,Pia Owens,pia.owens@example.com,Lamp 1,electronics,7,108.31,758.17
O-00159,2026-01-17,Quin Lopez,,Hat 14,grocery,6,25.48,152.88
O-00078,2026-01-18,Yara Xu,yara.xu@example.com,Lamp 1,electronics,6,192.08,1152.48
O-00092,2026-01-18,Brian Quinn,,Eggs 28,home,9,247.09,2223.81
O-00167,2026-01-18,Kai Roy,kai.roy@example.com,Coffee 24,grocery,9,13.48,121.32
O-00017,2026-01-19,Wren Chen,wren.chen@example.com,Plate 19,grocery,6,246.18,1477.08
O-00045,2026-01-19,Felix Murphy,felix.murphy@example.com,Belt 22,apparel,2,169.75,339.50
O-00061,2026-01-19,Pia Owens,pia.owens@example.com,Coffee 24,grocery,9,102.66,923.94
O-00095,2026-01-19,Zane Wong,zane.wong@example.com,Bread 4,grocery,6,99.81,598.86
O-00147,2026-01-20,Wren Zhao,wren.zhao@example.com,Belt 22,apparel,9,92.36,831.24
O-00158,2026-01-20,Yara Xu,yara.xu@example.com,Cup 27,apparel,3,136.08,408.24
O-00192,2026-01-21,Felix Quinn,,Socks 18,home,8,43.08,344.64
O-00120,2026-01-22,Jane Lopez,jane.lopez@example.com,Chips 12,apparel,9,193.64,1742.76
O-00145,2026-01-22,Felix Kim,felix.kim@example.com,Pan 7,apparel,9,30.59,275.31
O-00177,2026-01-22,Uma Smith,uma.smith@example.com,Cheese 16,electronics,6,176.08,1056.48
O-00116,2026-01-23,Uma Smith,uma.smith@example.com,Jacket 10,other,4,137.22,548.88
O-00200,2026-01-23,Alex Roy,alex.roy@example.com,Shirt 2,apparel,9,28.98,260.82
O-00156,2026-01-24,Alex Murphy,alex.murphy@example.com,Chips 12,apparel,6,46.99,281.94
O-00189,2026-01-24,Vik Quinn,vik.quinn@example.com,Cable 5,other,7,97.42,681.94
O-00199,2026-01-24,Theo Garcia,theo.garcia@example.com,Bread 4,grocery,9,219.06,1971.54
O-00019,2026-01-25,Pia Zhao,pia.zhao@example.com,Eggs 28,home,5,15.64,78.20
O-00056,2026-01-25,Quin Lopez,,Knife 15,other,9,134.61,1211.49
O-00070,2026-01-25,Kai Tan,,Cup 27,apparel,3,176.71,530.13
O-00098,2026-01-25,Uma Davis,uma.davis@example.com,Pan 7,apparel,6,237.74,1426.44
