user_id,email,country,age,is_active
U-000001,sam0001@example.com,US,35,false
U-000002,robin0002@corp.example,GB,91,false
U-000003,sam0003@example.com,JP,104,true
U-000004,max0004@corp.example,US,18,false
U-000005,noa0005@mail.test,FR,,false
U-000006,morgan0006@example.com,GB,77,false
U-000008,blake0008@corp.example,DE,120,true
U-000009,john0009@corp.example,DE,97,false
U-000010,morgan0010@users.io,US,66,false
U-000011,john0011@mail.test,DE,,true
U-000012,john0012@mail.test,DE,27,true
U-000013,robin0013@users.io,FR,,true
U-000014,robin0014@corp.example,FR,69,false
U-000015,avery0015@corp.example,JP,,true
U-000018,noa0018@example.com,DE,102,false
U-000019,morgan0019@example.com,DE,109,true
U-000020,noa0020@mail.test,US,16,true
U-000022,riley0022@mail.test,GB,113,false
U-000023,john0023@users.io,CA,70,false
U-000024,remy0024@example.com,DE,24,true
U-000025,sam0025@mail.test,FR,78,true
U-000026,sam0026@mail.test,US,115,false
U-000027,sage0027@example.com,CA,73,false
U-000028,alex0028@corp.example,GB,82,false
U-000029,drew0029@mail.test,JP,45,false
U-000030,riley0030@corp.example,CA,,true
U-000031,alex0031@users.io,US,22,true
U-000032,noa0032@mail.test,US,37,true
U-000033,blake0033@corp.example,FR,59,false
U-000034,alex0034@example.com,GB,50,true
U-000035,noa0035@mail.test,GB,29,true
U-000036,blake0036@example.com,JP,53,true
U-000037,avery0037@users.io,DE,,false
U-000038,max0038@example.com,US,65,false
U-000039,rowan0039@users.io,DE,59,true
U-000040,drew0040@mail.test,JP,65,false
U-000041,blake0041@mail.test,FR,102,false
U-000042,jane0042@users.io,CA,21,false
U-000043,jordan0043@corp.example,CA,39,false
U-000044,quinn0044@users.io,CA,56,true
U-000045,rowan0045@mail.test,FR,16,false
U-000046,kai0046@users.io,GB,119,true
U-000047,jane0047@example.com,DE,112,false
U-000048,jordan0048@corp.example,CA,60,false
U-000049,john0049@example.com,US,71,true
U-000051,blake0051@users.io,US,88,true
U-000052,avery0052@example.com,CA,75,false
U-000053,riley0053@example.com,US,22,false
U-000054,jordan0054@users.io,GB,,false
U-000055,quinn0055@users.io,US,52,false
U-000056,drew0056@mail.test,FR,62,false
U-000057,john0057@corp.example,FR,68,true
U-000058,casey0058@example.com,US,116,false
U-000059,remy0059@example.com,DE,57,true
U-000060,robin0060@example.com,CA,67,true
U-000061,alex0061@mail.test,CA,,true
U-000062,casey0062@users.io,CA,59,true
U-000063,quinn0063@users.io,DE,74,true
U-000064,rowan0064@mail.test,FR,23,true
U-000065,remy0065@users.io,DE,51,false
U-000066,blake0066@users.io,GB,45,false
U-000067,sam0067@mail.test,FR,58,false
U-000068,alex0068@mail.test,DE,,false
U-000069,drew0069@mail.test,CA,62,true
U-000070,alex0070@users.io,GB,51,true
U-000071,morgan0071@example.com,FR,80,true
U-000072,john0072@corp.example,US,44,true
U-000073,casey0073@example.com,DE,,false
U-000074,jordan0074@corp.example,JP,62,true
U-000075,max0075@mail.test,JP,,true
U-000076,taylor0076@mail.test,DE,96,false
U-000077,morgan0077@corp.example,CA,76,false
U-000079,max0079@mail.test,DE,115,false
U-000082,sam0082@users.io,DE,94,true
U-000083,jordan0083@users.io,US,69,false
U-000084,max0084@example.com,JP,119,true
U-000085,rowan0085@users.io,JP,37,false
U-000086,drew0086@corp.example,US,72,false
U-000087,morgan0087@corp.example,US,104,false
U-000088,jordan0088@corp.example,GB,115,true
U-000089,morgan0089@users.io,FR,41,true
U-000090,rowan0090@mail.test,GB,64,true
U-000091,avery0091@example.com,GB,81,false
U-000093,robin0093@example.com,CA,92,true
U-000094,max0094@users.io,DE,89,false
U-000095,blake0095@corp.example,GB,27,false
U-000096,john0096@users.io,US,119,true
U-000097,john0097@mail.test,FR,30,false
U-000098,drew0098@mail.test,DE,63,true
U-000100,casey0100@example.com,DE,,false
U-000101,remy0101@corp.example,FR,17,false
U-000102,john0102@mail.test,GB,38,false
U-000104,rowan0104@users.io,GB,116,true
U-000105,john0105@example.com,DE,68,false
U-000106,casey0106@example.com,US,43,false
U-000107,casey0107@users.io,DE,34,false
U-000108,john0108@users.io,JP,68,false
U-000109,jordan0109@example.com,JP,,false
U-000110,drew0110@mail.test,FR,90,false
U-000111,morgan0111@users.io,FR,96,false
U-000112,blake0112@users.io,FR,,false
U-000113,morgan0113@corp.example,GB,92,false
U-000114,kai0114@corp.example,US,24,true
U-000115,sage0115@mail.test,GB,76,true
U-000116,sam0116@users.io,GB,,false
U-000117,remy0117@example.com,FR,86,true
U-000118,rowan0118@mail.test,GB,17,true
U-000119,quinn0119@users.io,JP,18,true
U-000120,sage0120@users.io,GB,43,true
U-000121,riley0121@example.com,US,,true
U-000122,remy0122@users.io,CA,,true
U-000123,avery0123@example.com,DE,46,true
U-000124,alex0124@mail.test,JP,,false
U-000126,kai0126@corp.example,CA,113,true
U-000127,alex0127@corp.example,JP,71,false
U-000128,quinn0128@corp.example,CA,42,false
U-000129,drew0129@corp.example,CA,91,true
U-000130,rowan0130@users.io,GB,66,true
U-000132,kai0132@corp.example,JP,,false
U-000133,robin0133@users.io,GB,25,false
U-000134,sam0134@mail.test,JP,83,true
U-000136,casey0136@example.com,CA,64,false
U-000137,rowan0137@corp.example,CA,,true
U-000138,jordan0138@mail.test,FR,98,false
U-000139,rowan0139@users.io,GB,,false
U-000141,jane0141@corp.example,DE,,false
U-000142,riley0142@users.io,US,44,false
U-000143,quinn0143@example.com,JP,55,false
U-000147,remy0147@mail.test,CA,42,true
U-000149,jane0149@example.com,CA,56,true
U-000150,john0150@mail.test,FR,,false
U-000151,blake0151@example.com,FR,55,true
U-000152,morgan0152@example.com,US,52,false
U-000153,casey0153@corp.example,US,120,false
U-000154,morgan0154@users.io,US,42,true
U-000155,morgan0155@users.io,DE,28,true
U-000156,quinn0156@example.com,JP,66,true
U-000157,jane0157@mail.test,FR,64,true
U-000158,alex0158@mail.test,GB,92,true
U-000159,robin0159@corp.example,DE,101,false
U-000160,alex0160@users.io,US,44,true
U-000161,rowan0161@mail.test,FR,58,false
U-000162,sage0162@users.io,JP,64,false
U-000163,quinn0163@mail.test,US,,true
U-000164,blake0164@example.com,GB,91,true
U-000165,john0165@mail.test,GB,,true
U-000166,jane0166@corp.example,DE,13,true
U-000168,jane0168@corp.example,DE,107,false
U-000169,morgan0169@mail.test,DE,26,true
U-000170,remy0170@corp.example,GB,,false
U-000171,quinn0171@corp.example,DE,88,false
U-000172,max0172@users.io,FR,118,false
U-000174,jordan0174@mail.test,GB,69,false
U-000175,sage0175@users.io,DE,107,true
U-000176,drew0176@corp.example,US,,true
U-000178,alex0178@mail.test,JP,61,true
U-000179,casey0179@mail.test,JP,18,true
U-000181,morgan0181@users.io,US,27,true
U-000182,morgan0182@users.io,GB,54,true
U-000183,rowan0183@mail.test,US,49,false
U-000184,max0184@users.io,DE,114,true
U-000185,taylor0185@users.io,GB,53,true
U-000186,morgan0186@corp.example,US,85,true
U-000187,riley0187@mail.test,JP,110,true
U-000188,rowan0188@users.io,DE,103,true
U-000189,robin0189@mail.test,CA,110,true
U-000190,sage0190@example.com,JP,71,true
U-000191,jordan0191@example.com,DE,112,true
U-000192,remy0192@example.com,DE,83,false
U-000193,quinn0193@mail.test,FR,30,false
U-000194,blake0194@users.io,US,113,true
U-000195,kai0195@corp.example,US,34,false
U-000196,taylor0196@mail.test,DE,,false
U-000197,jordan0197@mail.test,FR,52,false
U-000198,taylor0198@corp.example,US,77,true
U-000199,avery0199@mail.test,CA,29,true
U-000201,max0201@mail.test,GB,,false
U-000202,quinn0202@example.com,JP,,true
U-000203,jane0203@mail.test,JP,78,true
U-000204,sam0204@example.com,FR,87,true
U-000205,blake0205@example.com,JP,,true
U-000207,sage0207@users.io,JP,62,true
U-000208,morgan0208@users.io,FR,65,false
U-000209,riley0209@users.io,GB,103,false
U-000210,sam0210@users.io,GB,54,true
U-000211,quinn0211@corp.example,GB,64,false
U-000212,robin0212@users.io,JP,97,true
U-000213,riley0213@example.com,FR,29,false
U-000214,robin0214@mail.test,CA,96,false
U-000215,casey0215@example.com,DE,,true
U-000216,max0216@users.io,JP,85,true
U-000217,remy0217@mail.test,CA,33,false
U-000218,taylor0218@mail.test,JP,18,true
U-000219,rowan0219@example.com,US,57,true
U-000220,avery0220@users.io,FR,,true
U-000222,john0222@corp.example,GB,109,false
U-000223,drew0223@example.com,DE,13,true
U-000224,robin0224@users.io,CA,,false
U-000225,kai0225@corp.example,JP,,false
U-000226,avery0226@example.com,JP,71,false
U-000227,casey0227@example.com,JP,32,false
U-000228,jane0228@corp.example,JP,,false
U-000229,jane0229@users.io,FR,,true
U-000230,alex0230@example.com,CA,,true
U-000231,alex0231@corp.example,JP,74,false
U-000232,sam0232@corp.example,CA,,true
U-000233,taylor0233@mail.test,CA,103,false
U-000234,blake0234@users.io,CA,98,true
U-000235,jordan0235@example.com,CA,97,true
U-000236,rowan0236@corp.example,GB,107,true
U-000237,john0237@corp.example,CA,28,true
U-000238,sage0238@mail.test,US,75,true
U-000239,max0239@mail.test,DE,21,true
U-000240,taylor0240@example.com,GB,56,false
U-000241,john0241@example.com,DE,98,false
U-000242,alex0242@mail.test,JP,90,false
U-000243,avery0243@example.com,US,27,true
U-000244,noa0244@mail.test,DE,104,false
U-000245,taylor0245@users.io,FR,28,true
U-000246,kai0246@users.io,US,25,false
U-000247,drew0247@mail.test,DE,33,true
U-000248,jordan0248@corp.example,US,114,true
U-000249,drew0249@corp.example,FR,90,false
U-000250,kai0250@mail.test,JP,18,false
